#Density[m^-2]	TravelTime[sec]
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.799999999999926
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.500000000000028
0.25	7.800000000000054
0.25	7.500000000000071
0.25	7.5000000000000995
0.25	7.500000000000128
0.25	7.500000000000142
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000256
0.25	7.500000000000256
0.25	7.500000000000256
0.25	7.500000000000256
0.25	7.500000000000256
0.25	7.500000000000256
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000057
0.25	7.499999999999943
0.25	7.499999999999773
0.25	7.499999999999716
0.25	7.499999999999602
0.25	7.499999999999488
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
