#Density[m^-2]	TravelTime[sec]
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	8.39999999999992
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.799999999999926
0.25	8.39999999999992
0.25	8.099999999999923
0.25	8.39999999999992
0.25	8.39999999999992
0.25	7.499999999999929
0.25	7.499999999999929
0.25	8.099999999999923
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.799999999999926
0.25	7.799999999999926
0.25	7.799999999999926
0.25	8.099999999999923
0.25	7.799999999999926
0.25	8.099999999999923
0.25	8.099999999999923
0.25	7.499999999999929
0.25	7.799999999999926
0.25	8.099999999999923
0.25	8.099999999999923
0.25	7.799999999999926
0.25	7.499999999999929
0.25	8.099999999999923
0.25	7.799999999999926
0.25	7.799999999999926
0.25	7.499999999999929
0.25	8.099999999999923
0.25	7.499999999999929
0.25	8.39999999999992
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	8.39999999999992
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	7.799999999999926
0.25	7.499999999999929
0.25	8.099999999999923
0.25	7.800000000000182
0.25	7.800000000000196
0.25	8.100000000000222
0.25	7.500000000000242
0.25	8.10000000000025
0.25	7.800000000000267
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.70000000000033
0.25	8.100000000000307
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.400000000000318
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.70000000000033
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.100000000000307
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	9.000000000000341
0.25	7.500000000000284
0.25	8.400000000000318
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000267
0.25	7.500000000000256
0.25	8.40000000000029
0.25	7.500000000000256
0.25	8.40000000000029
0.25	7.500000000000256
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.100000000000307
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.100000000000307
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.400000000000318
0.25	8.100000000000307
0.25	7.800000000000296
0.25	8.100000000000307
0.25	8.100000000000307
0.25	7.800000000000296
0.25	8.100000000000307
0.25	8.400000000000318
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.500000000000284
0.25	8.400000000000318
0.25	7.500000000000284
0.25	8.400000000000318
0.25	7.800000000000296
0.25	8.70000000000033
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.400000000000318
0.25	8.100000000000307
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.800000000000296
0.25	8.70000000000033
0.25	7.800000000000296
0.25	9.000000000000341
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.400000000000318
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	8.100000000000307
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.100000000000307
0.25	8.400000000000318
0.25	7.800000000000296
0.25	8.400000000000318
0.25	8.100000000000307
0.25	8.100000000000307
0.25	8.400000000000318
0.25	8.100000000000307
0.25	7.500000000000284
0.25	8.400000000000318
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.100000000000307
0.25	8.400000000000318
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.400000000000318
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.400000000000318
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.500000000000284
0.25	8.400000000000318
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.70000000000033
0.25	8.100000000000307
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.400000000000318
0.25	8.100000000000307
0.25	7.800000000000296
0.25	7.800000000000296
0.25	7.500000000000284
0.25	7.800000000000296
0.25	7.800000000000296
0.25	8.400000000000318
0.25	7.800000000000296
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.500000000000284
0.25	8.100000000000307
0.25	7.800000000000239
0.25	7.799999999999784
0.25	7.79999999999967
0.25	8.099999999999568
0.25	7.799999999999216
0.25	7.799999999999159
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.799999999998818
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	8.399999999998727
0.25	7.799999999998818
0.25	7.799999999998818
0.25	7.799999999998818
0.25	7.799999999998818
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.799999999998818
0.25	8.099999999998772
0.25	8.699999999998681
0.25	7.799999999998818
0.25	7.799999999998818
0.25	7.499999999998863
0.25	7.799999999998818
0.25	7.799999999998818
0.25	8.099999999998772
0.25	7.799999999998818
0.25	7.799999999998818
0.25	8.099999999998772
0.25	7.799999999998818
0.25	8.099999999998772
0.25	8.399999999998727
0.25	7.499999999998863
0.25	7.799999999998818
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.499999999998863
0.25	8.099999999998772
0.25	7.499999999998863
0.25	7.799999999998818
0.25	8.099999999998772
0.25	7.499999999998863
0.25	7.799999999998818
0.25	7.499999999998863
0.25	7.499999999998863
0.25	8.099999999998772
0.25	7.799999999998818
0.25	7.799999999998818
0.25	7.499999999998863
0.25	7.499999999998863
0.25	7.799999999998818
0.25	7.499999999998863
0.25	7.799999999998818
0.25	7.499999999998863
